dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,0,0,0,0,0,2.359097,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,234,1,0,0,0,0,0,9.298660,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,296,4,3,1,0,0,0,10.844492,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,397,1,0,0,0,0,0,12.538061,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,742,1,0,0,0,0,0,15.233325,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,1,pass,2118,1,0,0,0,0,0,23.384968,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,820,1,0,0,0,0,0,28.937970,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,325,1,0,0,0,0,0,18.272993,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,602,1,0,0,0,0,0,18.713215,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,397,1,0,0,0,0,0,12.250133,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,422,1,0,0,0,0,0,14.273789,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,325,1,0,0,0,0,0,12.473715,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1311,1,0,0,0,0,0,31.142666,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,331,1,0,0,0,0,0,14.102528,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,652,1,0,0,0,0,0,15.434112,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,840,2,0,0,0,0,0,13.724278,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,331,1,0,0,0,0,0,11.260709,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1080,2,0,0,0,0,0,23.124692,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1089,1,0,0,0,0,0,20.461054,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1832,6,4,1,0,0,0,37.182995,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,MobileBertForQuestionAnswering,1,pass,1315,1,0,0,0,0,0,30.612602,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,google/gemma-2-2b,1,pass,2228,1,0,0,0,0,0,21.147788,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,M2M100ForConditionalGeneration,1,pass,889,1,0,0,0,0,0,22.907201,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,162,1,0,0,0,0,0,12.441696,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,829,1,0,0,0,0,0,25.472937,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,BartForCausalLM,1,pass,338,1,0,0,0,0,0,14.630484,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,OPTForCausalLM,1,pass,369,1,0,0,0,0,0,11.167063,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,DistilBertForQuestionAnswering,1,pass,170,1,0,0,0,0,0,7.228199,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,MBartForCausalLM,1,pass,339,1,0,0,0,0,0,8.730572,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,1,pass,974,1,0,0,0,0,0,11.567814,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,T5Small,1,pass,829,1,0,0,0,0,0,5.893454,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,PLBartForCausalLM,1,pass,188,1,0,0,0,0,0,12.514854,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,BartForConditionalGeneration,1,pass,881,1,0,0,0,0,0,25.397753,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,448,1,0,0,0,0,0,11.492904,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,openai/whisper-tiny,1,pass,385,1,0,0,0,0,0,17.491883,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,MBartForConditionalGeneration,1,pass,887,1,0,0,0,0,0,24.438240,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,BertForMaskedLM,1,pass,317,1,0,0,0,0,0,14.289563,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,PLBartForConditionalGeneration,1,pass,478,1,0,0,0,0,0,18.792036,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,XGLMForCausalLM,1,pass,974,1,0,0,0,0,0,19.750528,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
xpu,MT5ForConditionalGeneration,1,pass,1192,1,0,0,0,0,0,17.514273,inductor_huggingface_amp_bf16_inference_xpu_accuracy.csv
