| op_extended | third_party.torch-xpu-ops.test.xpu.extended.test_ops_xpu.TestCommonXPU | test_compare_cpu___rmod___xpu_int16 | failed | RuntimeError: ZeroDivisionError | XML |
| op_extended | third_party.torch-xpu-ops.test.xpu.extended.test_ops_xpu.TestCommonXPU | test_compare_cpu___rmod___xpu_int32 | failed | RuntimeError: ZeroDivisionError | XML |
| op_extended | third_party.torch-xpu-ops.test.xpu.extended.test_ops_xpu.TestCommonXPU | test_compare_cpu___rmod___xpu_int64 | failed | RuntimeError: ZeroDivisionError | XML |
| op_extended | third_party.torch-xpu-ops.test.xpu.extended.test_ops_xpu.TestCommonXPU | test_compare_cpu___rmod___xpu_int8 | failed | RuntimeError: ZeroDivisionError | XML |
| op_extended | third_party.torch-xpu-ops.test.xpu.extended.test_ops_xpu.TestCommonXPU | test_compare_cpu___rmod___xpu_uint8 | failed | RuntimeError: ZeroDivisionError | XML |
