dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,OPTForCausalLM,1,pass,367,1,0,0,0,0,0,9.848997,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,BartForCausalLM,1,pass,336,1,0,0,0,0,0,12.361151,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,815,1,0,0,0,0,0,18.833011,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,google/gemma-2-2b,1,pass,2224,1,0,0,0,0,0,22.103165,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,MBartForCausalLM,1,pass,337,1,0,0,0,0,0,11.462676,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,PLBartForCausalLM,1,pass,186,1,0,0,0,0,0,9.505502,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,DistilBertForQuestionAnswering,1,pass,168,1,0,0,0,0,0,6.485320,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,T5Small,1,pass,815,1,0,0,0,0,0,3.150095,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,BartForConditionalGeneration,1,pass,879,1,0,0,0,0,0,21.115174,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,1,pass,970,1,0,0,0,0,0,13.511884,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,MBartForConditionalGeneration,1,pass,885,1,0,0,0,0,0,21.595371,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,446,1,0,0,0,0,0,8.995902,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,PLBartForConditionalGeneration,1,pass,476,1,0,0,0,0,0,14.322468,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,BertForMaskedLM,1,pass,315,1,0,0,0,0,0,12.033043,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,XGLMForCausalLM,1,pass,972,1,0,0,0,0,0,14.567897,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,MT5ForConditionalGeneration,1,pass,1190,1,0,0,0,0,0,16.467830,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,PegasusForCausalLM,1,pass,333,1,0,0,0,0,0,8.490675,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,openai/whisper-tiny,1,pass,383,1,0,0,0,0,0,15.588933,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,BertForQuestionAnswering,1,pass,322,1,0,0,0,0,0,8.411627,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,MegatronBertForCausalLM,1,pass,740,1,0,0,0,0,0,12.481389,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,PegasusForConditionalGeneration,1,pass,871,1,0,0,0,0,0,19.361588,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,BlenderbotForCausalLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_float32_inference_xpu_accuracy.csv
