dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,232,1,0,0,0,0,0,11.800114,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,0,0,0,0,0,12.259077,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,292,2,3,1,0,0,0,15.990759,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,740,1,0,0,0,0,0,15.453635,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,395,1,0,0,0,0,0,15.100314,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,818,1,0,0,0,0,0,27.568494,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,1,pass,2114,1,0,0,0,0,0,23.248021,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,420,1,0,0,0,0,0,9.774930,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,395,1,0,0,0,0,0,9.814617,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,323,1,0,0,0,0,0,13.319401,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,600,1,0,0,0,0,0,17.254772,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1309,1,0,0,0,0,0,26.415985,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,650,1,0,0,0,0,0,13.822987,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,329,1,0,0,0,0,0,13.310641,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,323,1,0,0,0,0,0,9.815769,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,836,2,0,0,0,0,0,9.643476,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,MobileBertForQuestionAnswering,1,pass,1313,1,0,0,0,0,0,24.178376,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1828,4,4,1,0,0,0,37.099303,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1087,1,0,0,0,0,0,18.196231,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,329,1,0,0,0,0,0,8.599549,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1076,2,0,0,0,0,0,20.168718,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,M2M100ForConditionalGeneration,1,pass,887,1,0,0,0,0,0,20.645306,inductor_huggingface_float32_inference_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,160,1,0,0,0,0,0,9.443107,inductor_huggingface_float32_inference_xpu_accuracy.csv
