2:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests,test_get_device_properties_tensor_device
780:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_mv_xpu
781:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_errors_arange_xpu
782:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_conv1d_xpu
783:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_linear_xpu
784:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_conv2d_xpu
785:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_conv3d_xpu
786:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_conv_transpose1d_xpu
787:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_embedding_bag_xpu
788:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_conv_transpose2d_xpu
789:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_nn_functional_conv_transpose3d_xpu
790:op_ut,third_party.torch-xpu-ops.test.xpu.test_torch_xpu.TestBasicVitalSigns,test_basic_vitals
791:op_ut,third_party.torch-xpu-ops.test.xpu.test_torch_xpu.TestBasicVitalSigns,test_basic_vitals_read_write
792:op_ut,third_party.torch-xpu-ops.test.xpu.test_torch_xpu.TestBasicVitalSigns,test_dataloader_vitals
793:op_ut,third_party.torch-xpu-ops.test.xpu.test_transformers_xpu.TestSDPAFailureModesXPU,test_mem_eff_attention_large_seq_len_uniform_attention_xpu
794:op_ut,third_party.torch-xpu-ops.test.xpu.test_transformers_xpu.TestSDPAFailureModesXPU,test_mem_eff_attention_large_seq_len_uniform_attention_xpu
795:op_ut,third_party.torch-xpu-ops.test.xpu.test_transformers_xpu.TestSDPAFailureModesXPU,test_mem_eff_attention_large_seq_len_uniform_attention_xpu
